Sample	r_processed	r_with_adapters	bp_processed	bp_written	percent_trimmed
SRR6954578.assembled.bx	11237816	11235847	1819854611	1311981146	27.907364793329638
SRR6954578.unassembled_2.bx			13997885358	11260822873	19.55339978145862
SRR6954579.assembled.bx	13858273	13856215	2097870891	1433382268	31.674428862648252
SRR6954579.unassembled_2.bx			7228454760	5776549774	20.085966284722243
SRR6954580.assembled.bx	2587123	2586560	385080614	287246172	25.406223643343417
SRR6954580.unassembled_2.bx			1694458824	1396223931	17.600598419734748
SRR6954582.assembled.bx	31431057	31428083	4479508718	3270847513	26.982003632300998
SRR6954582.unassembled_2.bx			12119258634	9981831158	17.636619042055507
SRR6954799.assembled.bx	5287259	5286525	785320784	585759009	25.41149795928488
SRR6954799.unassembled_2.bx			1222146450	1020860426	16.469877566636963
