Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_total_bases	tss_up_5kb_tag_count	tss_up_5kb_tags_kb	tss_up_10kb_total_bases	tss_up_10kb_tag_count	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_total_bases	tes_down_5kb_tag_count	tes_down_5kb_tags_kb	tes_down_10kb_total_bases	tes_down_10kb_tag_count	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct
SRR6954505.unassembled.read_distribution	9668550	14402747	13767617	36512446	8951820	8951820.0	33231493	475079	475079.0	57274166	3795694	3795694.0	1077358172	385204	385204.0	33710595	7459	7459.0	152682166	20295	20295.0	274415636	31007	31007.0	35511308	101621	101621.0	154728310	118202	118202.0	274153740	128813	128813.0	635130	62.153560011850516	3.2985304817199106	26.353958727456643	2.6745175764040012	0.051788731691253066	0.14091061934226853	0.21528532022398228	0.7055667922237334	0.8206906640795675	0.8943641098465454	4.409783772498399
SRR6954506.assembled.read_distribution	17114184	19542296	16960406	36512446	4497793	4497793.0	33231493	413225	413225.0	57274166	9909671	9909671.0	1077358172	1208011	1208011.0	33710595	33601	33601.0	152682166	81319	81319.0	274415636	138884	138884.0	35511308	696658	696658.0	154728310	751101	751101.0	274153740	792822	792822.0	2581890	23.015683520503423	2.114516124410356	50.70883687362018	6.181520329034009	0.17193987850762266	0.41611794233389976	0.7106841488840411	3.564872827634993	3.843463429271566	4.056954208451248	13.211804795096748
SRR6954506.unassembled.read_distribution	16620045	24909299	23382593	36512446	15322475	15322475.0	33231493	692212	692212.0	57274166	6256277	6256277.0	1077358172	731846	731846.0	33710595	22857	22857.0	152682166	51184	51184.0	274415636	77275	77275.0	35511308	248240	248240.0	154728310	281642	281642.0	274153740	302508	302508.0	1526706	61.51307188532282	2.7789300694491645	25.116230689591063	2.938043338754736	0.09176091226011619	0.20548149508342245	0.31022551056133696	0.996575616198593	1.130670116409137	1.2144380297494521	6.12906047657142
SRR6954507.assembled.read_distribution	22528663	25902286	23079122	36512446	6403429	6403429.0	33231493	458742	458742.0	57274166	13661311	13661311.0	1077358172	1544707	1544707.0	33710595	33350	33350.0	152682166	95784	95784.0	274415636	172331	172331.0	35511308	700345	700345.0	154728310	772773	772773.0	274153740	838602	838602.0	2823164	24.72148211165609	1.77104831596717	52.74171939882063	5.963593329175657	0.12875311468647982	0.3697897552362753	0.6653119342439505	2.70379610510053	2.9834162127620707	3.237559804567056	10.899285105569447
SRR6954507.unassembled.read_distribution	53646952	82265379	78252011	36512446	51964813	51964813.0	33231493	3221990	3221990.0	57274166	19600707	19600707.0	1077358172	2446004	2446004.0	33710595	53078	53078.0	152682166	127970	127970.0	274415636	204557	204557.0	35511308	659331	659331.0	154728310	757131	757131.0	274153740	813940	813940.0	4013368	63.16729301155958	3.9165807526395766	23.826191817581	2.973309100052891	0.06452045884332461	0.15555754018953707	0.24865502655740515	0.8014683795476102	0.9203519259298618	0.9894077069771964	4.878562584632352
SRR6954508.assembled.read_distribution	5700316	6549586	5848762	36512446	1654788	1654788.0	33231493	95263	95263.0	57274166	3534237	3534237.0	1077358172	345098	345098.0	33710595	6501	6501.0	152682166	19239	19239.0	274415636	34316	34316.0	35511308	153005	153005.0	154728310	171356	171356.0	274153740	185060	185060.0	700824	25.265535867457885	1.4544888791444224	53.96122747300364	5.269004789004985	0.09925818212021341	0.2937437572390072	0.5239415132498452	2.33610185437675	2.6162875027520824	2.825522101702306	10.700279376436923
SRR6954508.unassembled.read_distribution	17923496	26481019	25120037	36512446	16232609	16232609.0	33231493	695025	695025.0	57274166	7174118	7174118.0	1077358172	703292	703292.0	33710595	14909	14909.0	152682166	38574	38574.0	274415636	59532	59532.0	35511308	203491	203491.0	154728310	237216	237216.0	274153740	255461	255461.0	1360982	61.29903460286026	2.624615767240679	27.09154810092467	2.6558343544106062	0.056300703534104934	0.14566659991445194	0.22481008000485178	0.7684409727586389	0.8957963437887341	0.964694749850827	5.139462344708109
SRR6954509.assembled.read_distribution	25565186	30393110	26956881	36512446	7174002	7174002.0	33231493	591425	591425.0	57274166	16790837	16790837.0	1077358172	1399198	1399198.0	33710595	33099	33099.0	152682166	87605	87605.0	274415636	143318	143318.0	35511308	752138	752138.0	154728310	820168	820168.0	274153740	858101	858101.0	3436229	23.604040521025983	1.945918005758542	55.245537557689886	4.603668397212394	0.10890297175905987	0.28823967010944257	0.47154766326973446	2.47469903540638	2.6985326608563587	2.823340553171426	11.305947301872036
SRR6954509.unassembled.read_distribution	39690448	62545715	59230046	36512446	40305202	40305202.0	33231493	1789749	1789749.0	57274166	15017442	15017442.0	1077358172	1460352	1460352.0	33710595	34784	34784.0	152682166	80982	80982.0	274415636	135118	135118.0	35511308	430370	430370.0	154728310	487886	487886.0	274153740	522183	522183.0	3315669	64.44118833720263	2.8615053805044837	24.01034507319966	2.3348553933710727	0.05561372189925401	0.12947649571197645	0.21603078644156518	0.688088704398055	0.7800470423913133	0.8348821338120446	5.301192895468539
SRR6954510.assembled.read_distribution	7095857	7543733	6412586	36512446	783510	783510.0	33231493	290896	290896.0	57274166	4097798	4097798.0	1077358172	846443	846443.0	33710595	26322	26322.0	152682166	78382	78382.0	274415636	130934	130934.0	35511308	152755	152755.0	154728310	221214	221214.0	274153740	263005	263005.0	1131147	10.386237158711742	3.8561279939255537	54.320559860747984	11.220479303814173	0.3489253927730475	1.0390346530026977	1.7356658831907228	2.024925855673842	2.932420858479482	3.4864038798828116	14.994525919727012
SRR6954510.unassembled.read_distribution	6548384	8374681	7767312	36512446	3270530	3270530.0	33231493	233101	233101.0	57274166	3695853	3695853.0	1077358172	403162	403162.0	33710595	9743	9743.0	152682166	30538	30538.0	274415636	59222	59222.0	35511308	54246	54246.0	154728310	89460	89460.0	274153740	105444	105444.0	607369	39.05259197335397	2.7834015409064534	44.13126899997743	4.814057992179046	0.11633875964947203	0.3646467250513781	0.7071552934374455	0.6477381048902042	1.0682197924912005	1.259080793644558	7.252443406501095
SRR6954511.assembled.read_distribution	1536379	1644702	1375106	36512446	186579	186579.0	33231493	24812	24812.0	57274166	1012090	1012090.0	1077358172	114207	114207.0	33710595	2793	2793.0	152682166	6036	6036.0	274415636	8471	8471.0	35511308	20063	20063.0	154728310	25891	25891.0	274153740	28947	28947.0	269596	11.344243516454652	1.508601558215409	61.53637558658043	6.943932700270322	0.16981799742445744	0.36699657445543327	0.515047710770705	1.2198562414346186	1.574206147983039	1.7600148841553058	16.39178404355318
SRR6954511.unassembled.read_distribution	5050652	7152321	6788395	36512446	4397391	4397391.0	33231493	125803	125803.0	57274166	1836403	1836403.0	1077358172	349255	349255.0	33710595	7924	7924.0	152682166	20101	20101.0	274415636	27319	27319.0	35511308	29046	29046.0	154728310	43910	43910.0	274153740	52224	52224.0	363926	61.48201402034389	1.7589115477339454	25.675623339612414	4.8831001852405675	0.11078921094285338	0.2810416366938788	0.38195992601562484	0.406105934003801	0.6139265841116471	0.7301685704542623	5.0882224105993
