Sample	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one
SRR6954577.unassembled	93905036	49637662	40901544	3365830	50.13	49771438	46952518	110998	51188	2656734
SRR6954578.assembled	10729468	1139333	8649120	941015	89.38					
SRR6954578.unassembled	108046950	57129585	46096410	4820955	49.8	56901803	54023475	199373	94842	2584113
SRR6954579.assembled	12950386	1523056	9090273	2337057	88.24					
SRR6954579.unassembled	55820698	30750832	21127164	3942702	47.25	29146606	27910349	96429	41812	1098016
SRR6954580.assembled	2420758	230640	1691427	498691	90.47					
SRR6954580.unassembled	13254788	6978919	5274626	1001243	49.34	6887949	6627394	21138	7563	231854
SRR6954582.assembled	29479114	2252968	22243867	4982279	92.36					
SRR6954582.unassembled	94277388	52334239	36149322	5793827	46.88	49264824	47138694	127989	49149	1948992
SRR6954799.assembled	4927742	377396	3745553	804793	92.34					
SRR6954799.unassembled	9281960	4673925	3928731	679304	52.96	4968045	4640980	11062	4094	311909
